163	2187	-2326	-187	-54	-230	128	
164	3012	-2456	-14	-438	392	-203	
165	2132	-2480	122	-437	695	-121	
166	1494	-2693	905	-173	208	-272	
167	2145	-1954	916	-381	-80	-409	
168	2849	-1804	715	-235	242	-210	
169	2238	-2343	516	-221	325	110	
170	1775	-2381	429	-161	-29	215	
171	2149	-2056	358	-85	-168	297	
172	2359	-1861	270	-16	-95	304	
173	2173	-2081	232	57	-18	263	
174	1984	-2205	186	47	-60	244	
175	2167	-2063	158	98	-27	163	
176	2148	-2036	167	172	-4	113	
177	2015	-2007	161	160	-88	38	
178	1916	-1913	90	58	-244	-6	
179	1998	-2054	144	-11	-219	-26	
180	2377	-2335	207	-22	43	-3	
181	2216	-2240	-241	-101	-32	-89	
182	1624	-2633	-186	-111	-494	175	
183	3002	-2790	593	5	-87	196	
184	2834	-2718	824	-243	622	513	
185	1533	-2147	761	17	41	83	
186	1701	-2149	745	271	-490	-163	
187	2498	-2267	551	244	-249	-160	
188	2546	-2017	434	133	86	-298	
189	2283	-1894	401	212	199	-497	
190	2145	-1952	385	195	149	-364	
191	2259	-1962	342	179	118	-165	
192	2420	-1973	289	180	84	-192	
193	2391	-2025	258	207	127	-100	
194	2382	-1961	216	149	173	71	
195	2406	-1920	46	24	296	233	
196	2463	-1998	102	-2	386	185	
197	2289	-2341	256	-62	329	10	
198	1775	-2174	52	-332	-84	19	
199	2592	-2182	-232	-312	24	-119	
200	2424	-2933	381	-452	631	-383	
201	1361	-2828	1085	-40	278	-384	
202	2267	-1848	975	-342	-53	-649	
203	3174	-2198	664	-226	276	-217	
204	2001	-2328	541	-53	226	376	
205	1580	-2079	398	-99	-143	352	
206	2195	-1920	375	13	-289	287	
207	2349	-1914	249	18	-215	310	
208	2089	-2024	226	46	-167	218	
209	2063	-2088	203	56	-144	116	
210	2242	-1956	157	37	-90	-3	
211	2104	-1887	94	14	-119	-92	
212	1945	-2036	148	-49	-212	-63	
213	2106	-2204	-11	-199	-344	-45	
214	2301	-2262	-54	-171	-298	-99	
215	2231	-2062	-240	-211	-343	-65	
216	2226	-2613	199	-142	-355	203	
217	3151	-2975	940	-244	104	444	
218	2079	-2527	788	-341	619	619	
219	1442	-2341	808	13	-258	26	
220	2155	-2355	652	206	-538	-145	
221	2624	-2307	467	103	-182	-101	
222	2414	-1854	415	61	178	-260	
223	2176	-1862	352	194	288	-305	
224	2241	-2030	348	205	247	-167	
225	2332	-2113	301	180	69	-167	
226	2372	-2022	239	152	-8	-120	
227	2290	-1924	181	171	-27	17	
228	2290	-1933	93	145	-84	118	
229	2386	-1951	47	143	-132	174	
230	2444	-2013	69	138	-125	202	
231	2275	-2154	148	92	-1	179	
232	2310	-2150	230	-75	-65	41	
233	2156	-2027	-180	-304	7	162	
234	2551	-2347	-176	-371	427	-58	
235	2024	-2777	433	-292	512	-70	
236	1339	-2773	952	21	140	-199	
237	2326	-1932	958	-238	-115	-580	
238	3086	-2121	740	-161	166	-387	
239	2088	-2576	537	-64	110	233	
240	1696	-2145	386	-42	-211	219	
241	2162	-1998	363	-17	-318	179	
242	2329	-1956	268	-13	-327	145	
243	2148	-2112	204	38	-322	86	
244	2088	-2217	204	70	-284	51	
245	2292	-2000	234	121	-160	-30	
246	2262	-1940	161	-7	-56	-98	
247	2056	-1990	57	-47	-126	-149	
248	2046	-2180	56	-32	-222	-144	
249	2213	-2227	17	-76	-262	-118	
250	2207	-2190	15	-3	-243	-83	
251	2269	-2186	-53	-46	-271	-57	
252	2172	-2236	-136	-156	-402	41	
253	2291	-2384	35	-184	-469	96	
254	2723	-2513	450	21	-50	164	
255	2607	-2480	550	-223	392	472	
256	1847	-2258	637	-153	216	235	
257	2087	-2120	709	61	-126	-127	
258	2498	-2073	619	162	-75	-131	
259	2389	-2222	542	156	203	-72	
260	2154	-2229	451	161	229	-164	
261	2098	-2134	418	189	70	-129	
262	2200	-2082	395	287	-91	-83	
263	2296	-2167	357	299	-202	-137	
264	2342	-2104	383	210	-250	-88	
265	2434	-2056	377	132	-194	-58	
266	2516	-2033	336	-2	-88	-93	
267	2406	-2125	325	-48	9	-39	
268	2322	-2148	310	-84	-10	-6	
269	2431	-2099	317	-39	-4	-40	
270	2487	-2106	280	-70	114	23	
271	2496	-2134	278	-59	316	76	
272	2414	-2173	336	-24	467	36	
273	2177	-2225	407	19	379	27	
274	2043	-2257	411	60	136	37	
275	2254	-2258	406	48	-30	-6	
276	2383	-2114	386	22	20	-12	
277	2342	-2044	349	6	135	34	
278	2250	-2124	361	13	208	30	
279	2169	-2226	346	16	165	11	
280	2178	-2232	330	34	74	20	
281	2184	-2214	336	48	23	51	
282	2205	-2177	357	43	8	49	
283	2225	-2117	365	39	3	31	
284	2232	-2153	345	31	1	22	
285	2232	-2176	334	28	-4	23	
286	2221	-2166	323	26	0	3	
287	2224	-2186	297	25	21	4	
288	2236	-2194	313	35	28	10	
289	2236	-2173	304	30	9	2	
290	2248	-2152	301	30	15	-8	
291	2218	-2155	300	31	12	1	
292	2214	-2182	276	14	-20	-5	
293	2261	-2194	289	24	-42	-17	
294	2233	-2167	298	26	-53	-4	
295	2241	-2164	281	16	-81	-13	
296	2273	-2176	289	17	-71	-9	
297	2268	-2175	300	20	-53	-8	
298	2254	-2166	285	28	-57	-14	
299	2267	-2170	292	21	-68	-16	
300	2279	-2170	297	18	-55	-10	
301	2267	-2163	298	15	-42	-9	
302	2260	-2168	286	3	-44	-10	
303	2256	-2176	290	2	-52	-12	
304	2280	-2172	298	0	-59	-11	
305	2287	-2166	292	3	-40	-8	
306	2275	-2169	292	1	-34	-9	
307	2276	-2172	287	-7	-26	-8	
308	2276	-2166	284	4	-9	-7	
309	2267	-2174	293	4	-17	-2	
310	2263	-2176	290	2	-23	1	
311	2275	-2164	289	10	-24	-2	
312	2294	-2164	297	4	-14	-4	
313	2282	-2177	293	4	-3	6	
314	2263	-2178	297	6	-6	9	
315	2269	-2173	307	11	-13	14	
316	2272	-2159	292	1	-14	13	
317	2268	-2172	304	5	-10	11	
318	2267	-2168	298	8	-10	8	
319	2274	-2167	287	8	-12	7	
320	2271	-2166	307	9	-13	8	
321	2273	-2168	293	7	-17	9	
322	2280	-2177	298	5	-20	12	
323	2270	-2172	301	15	-4	21	
324	2264	-2169	288	14	-11	7	
325	2272	-2161	302	13	-12	11	
326	2275	-2171	294	6	-16	11	
327	2264	-2175	304	20	-18	13	
328	2261	-2171	302	16	-28	18	
329	2276	-2169	294	12	-42	26	
330	2265	-2166	305	16	-56	27	
331	2263	-2172	299	23	-62	24	
332	2259	-2181	300	35	-73	25	
333	2266	-2174	309	35	-94	23	
334	2266	-2166	303	35	-111	23	
335	2274	-2167	303	36	-120	20	
336	2262	-2173	313	42	-142	26	
337	2255	-2165	320	36	-169	28	
338	2272	-2154	308	27	-188	31	
339	2267	-2188	292	15	-201	41	
340	2248	-2207	295	22	-234	46	
341	2210	-2190	297	42	-293	66	
342	2163	-2179	336	79	-337	106	
343	2139	-2179	353	110	-368	133	
344	2123	-2148	334	76	-402	128	
345	2103	-2202	301	63	-473	104	
346	2086	-2269	316	61	-550	87	
347	2083	-2268	318	13	-642	82	
348	2058	-2157	303	59	-726	110	
349	2012	-2121	297	59	-826	89	
350	1958	-2314	254	0	-913	-8	
351	1986	-2229	275	92	-1092	5	
352	2035	-2218	304	108	-1203	-9	
353	2083	-2173	327	104	-1199	-33	
354	2053	-2180	346	120	-1149	-38	
355	2003	-2159	347	128	-1145	-56	
356	1921	-2120	379	164	-1221	-93	
357	2117	-2150	375	197	-1241	-169	
358	2207	-2161	365	195	-1193	-257	
359	2115	-2229	372	230	-1262	-247	
360	2588	-2266	407	301	-1238	-169	
361	2575	-2331	426	368	-848	74	
362	2215	-2088	326	420	-854	7	
363	2321	-1954	302	375	-985	-38	
364	2492	-2115	260	288	-1034	20	
365	2494	-2208	266	244	-1143	67	
366	2379	-2120	271	175	-1210	93	
