	-2181	342	24	-7	-1	
556	2173	-1999	198	94	-34	68	
557	2128	-2028	188	124	-17	-14	
558	1988	-2022	145	127	-126	-94	
559	1882	-2075	151	73	-332	-110	
560	2120	-2158	143	27	-469	-77	
561	2354	-2181	76	1	-406	12	
562	2429	-2203	-181	-135	-423	-49	
563	1873	-2496	-179	-188	-628	102	
564	2712	-2658	361	-37	-416	118	
565	3135	-2811	861	-255	523	435	
566	1525	-2278	699	-296	567	322	
567	1614	-2105	697	73	-131	-190	
568	2415	-2099	572	97	-128	-250	
569	2434	-2095	449	48	209	-204	
570	2279	-2003	373	53	344	-385	
571	2259	-2056	354	92	276	-411	
572	2179	-2041	299	131	140	-273	
573	2342	-2020	281	139	-19	-263	
574	2440	-2030	249	154	3	-168	
575	2359	-1932	259	231	98	-29	
576	2285	-1874	193	197	119	15	
577	2346	-1924	113	117	75	66	
578	2437	-1989	175	70	38	144	
579	2404	-2181	103	-32	135	136	
580	2302	-2252	70	-152	163	15	
581	2125	-2156	-232	-316	87	76	
582	2497	-2412	-110	-357	354	-103	
583	2128	-2813	620	-296	642	-319	
584	1694	-2820	1136	-50	218	-550	
585	2688	-2072	840	-321	133	-576	
586	3122	-2272	724	-67	503	-81	
587	1819	-2283	538	56	378	417	
588	1464	-1968	396	-62	-142	484	
589	2280	-1866	284	-29	-352	329	
590	2474	-1971	185	69	-211	307	
591	1996	-2112	188	112	-194	240	
592	2049	-2089	246	131	-304	148	
593	2223	-1887	241	102	-290	22	
594	2083	-1913	223	52	-344	-56	
595	1980	-2046	122	-16	-430	-24	
596	2148	-2146	16	-83	-468	-24	
597	2301	-2291	50	-8	-308	-1	
598	2405	-2184	-155	-57	-229	-101	
599	2008	-2377	-266	-138	-382	55	
600	2565	-2737	280	2	-227	213	
601	3232	-2774	806	-145	402	416	
602	1820	-2320	616	-358	736	472	
603	1597	-2029	751	-67	13	-84	
604	2175	-2237	610	148	-366	-185	
605	2366	-2260	548	57	-225	7	
606	2226	-2070	401	68	-71	-175	
607	2302	-2002	389	77	16	-365	
608	2317	-2037	338	73	127	-266	
609	2223	-1998	304	142	101	-231	
610	2410	-2021	298	109	57	-256	
611	2410	-1965	300	163	113	-122	
612	2269	-1901	194	115	125	-4	
613	2331	-1973	47	60	145	76	
614	2465	-1992	54	65	161	103	
615	2442	-2079	13	-25	142	82	
616	2345	-2208	18	-67	250	173	
617	2340	-2100	90	-181	241	97	
618	2246	-2026	-239	-410	294	52	
619	2369	-2531	-14	-382	573	-231	
620	1769	-3017	730	-58	496	-246	
621	1791	-2621	944	-272	-72	-481	
622	2816	-1933	780	-298	-11	-329	
623	2547	-2127	605	-89	231	85	
624	1801	-2358	437	-90	20	286	
625	2053	-2103	348	-62	-147	216	
626	2352	-1974	327	7	-134	186	
627	2215	-2021	286	7	-172	135	
628	1979	-2197	268	50	-239	125	
629	2167	-2204	270	74	-277	123	
630	2232	-1963	205	-12	-182	90	
631	2089	-2019	78	-16	-199	33	
632	2093	-2178	65	31	-300	-70	
633	2112	-2179	84	14	-322	-58	
634	2161	-2127	89	-40	-302	-37	
635	2285	-2111	-6	-65	-260	-85	
636	2121	-2187	-36	-52	-199	-87	
637	2072	-2085	-105	-131	-294	-130	
638	2295	-2326	66	-20	-490	-109	
639	2920	-2675	600	50	-283	215	
640	2390	-2549	400	-161	436	478	
641	1876	-1999	509	104	300	5	
642	2445	-1862	602	299	29	-262	
643	2640	-2222	567	271	179	-116	
644	2292	-2450	484	216	282	-73	
645	2098	-2278	438	135	162	-178	
646	2173	-2130	393	198	21	-198	
647	2382	-2121	422	260	-86	-199	
648	2425	-2086	413	206	-64	-212	
649	2375	-2055	371	122	-58	-179	
650	2361	-2092	362	106	-154	-162	
651	2411	-2114	333	115	-255	-116	
652	2458	-2080	294	23	-276	-50	
653	2499	-2064	273	-15	-239	-27	
654	2526	-2070	248	-18	-139	23	
655	2523	-2062	229	-72	-27	117	
656	2533	-2020	219	-83	112	196	
657	2436	-2155	283	-43	185	222	
658	2296	-2225	395	-43	206	223	
659	2244	-2227	344	-15	64	163	
660	2298	-2254	311	-7	12	109	
661	2388	-2073	355	-20	42	81	
662	2349	-2064	369	-36	147	71	
663	2240	-2130	341	1	177	98	
664	2152	-2247	344	18	146	107	
665	2184	-2267	396	25	50	65	
666	2191	-2187	395	34	23	49	
667	2162	-2150	338	-3	20	59	
668	2218	-2158	313	5	31	37	
669	2222	-2160	317	36	60	13	
670	2159	-2196	315	46	67	15	
671	2156	-2192	328	46	21	16	
672	2212	-2162	325	32	4	10	
673	2207	-2184	301	26	-2	22	
674	2193	-2209	290	18	-12	27	
675	2206	-2152	306	25	-1	8	
676	2231	-2161	310	48	15	10	
677	2228	-2205	307	27	8	13	
678	2186	-2201	304	22	1	26	
